Name,Attachments,Type of food,Theme,Cuisine,Meat,URL
weeknight saucy pineapple bbq chicken bowls,"https://www.halfbakedharvest.com/weeknight-saucy-pineapple-bbq-chicken-bowls/, image%2065.png",,Stir fry & ramen Saturday,Oceanix,Chicken,
SAUTÉ DE TOFU FUMÉ AUX LÉGUMES SUR NOUILLES RAMEN,"https://www.troisfoisparjour.com/fr/recettes/plats-principaux/tofu-et-soya/saute-de-tofu-fume-aux-legumes-sur-nouilles-ramen/, image%2066.png",,Stir fry & ramen Saturday,Asian,,
Vietnamese bun cha with sticky spicy tofu,"https://www.jamieoliver.com/recipes/vegetables-recipes/vietnamese-bun-cha-with-sticky-spicy-tofu/, image%2067.png",,Stir fry & ramen Saturday,Asian,Red Meat,
Dumpling,"https://www.ricardocuisine.com/recettes/3794-dumplings-de-porc-et-sauce-aux-arachides, image%2068.png",,Stir fry & ramen Saturday,Asian,,
Bun Cha (Vietnamese Meatballs!),"https://www.recipetineats.com/bun-cha-vietnamese-meatballs/, image%2069.png, https://www.vickypham.com/blog/bun-cha-hanoi, https://www.saveur.com/article/Recipes/Bun-Cha-Vietnamese-Pork-Meatball-Noodle-Salad/, https://www.aspicyperspective.com/spicy-food-for-spicy-personality/",,Stir fry & ramen Saturday,Asian,Red Meat,
Saumon miel-soya sur nouilles soba au beurre de kimchi,"https://www.makegoodfood.ca/fr/recipe/saumon-miel-soya-sur-nouilles-soba-au-beurre-de-kimchi, image%2070.png",,Stir fry & ramen Saturday,Asian,Salmon,
Lo Mein de champignons,"https://www.chefcookit.com/recipes/lomein-champi, image%2071.png",,Stir fry & ramen Saturday,Asian,,
Macaroni chinois de Valérie,"https://www.chefcookit.com/recipes/macaroni-chinoisv, image%2072.png",,Stir fry & ramen Saturday,Asian,Red Meat,
Tarte au sucre d'érable de Daniel Vézina,"https://www.ricardocuisine.com/recettes/6257-tarte-au-sucre-d-erable-de-daniel-vezina, image%2073.png",,Sweet Treat Saturday,,,
Smores,image%2074.png,,Sweet Treat Saturday,,,
Tarte au citron meringuée,"https://www.lesoeufs.ca/recettes/tarte-au-citron-meringuee, image%2075.png",,Sweet Treat Saturday,,,
Petits gâteaux au chocolat fondant (mi-cuits),"https://www.ricardocuisine.com/recettes/8294-petits-gateaux-au-chocolat-fondant-mi-cuits, image%2076.png",,Sweet Treat Saturday,,,
Pomegranate & clementine sorbet,"https://www.jamieoliver.com/recipes/fruit-recipes/pomegranate-clementine-sorbet/, image%2077.png",,Sweet Treat Saturday,,,
ANANAS GRILLÉS AVEC RHUM ET SIROP D’ÉRABLE,"https://lecoupdegrace.ca/recette/ananas-grilles-avec-rhum-et-sirop-derable/, image%203.jpeg, https://www.iga.net/fr/produit/creme-glaceea-la-creme-brulee/00000_000000005500069791",,Sweet Treat Saturday,,,
Crème brûlée,"https://www.ricardocuisine.com/recettes/4016-creme-brulee, image%2078.png",,Sweet Treat Saturday,European,,
Frozen yogurt ,https://vm.tiktok.com/ZMLg1nUWq/,,Sweet Treat Saturday,,,
Coconut Sugar Caramelized Plantains,"IMG_4925.jpg, https://minimalistbaker.com/coconut-sugar-caramelized-plantains/",,Sweet Treat Saturday,,,
Gâteau au chocolat ,https://www.ricardocuisine.com/recettes/5027-gateau-au-chocolat-sans-salir-un-bol,,Sweet Treat Saturday,,,
Roasted tomato and red pepper with boursin cheese soup,image%2079.png,Bowl,Soup & Salad Sunday,European,,
"ASSIETTE DE TOMATES, CONCOMBRE, FÉTA & ÉCRASÉ DE FRAMBOISES","https://www.troisfoisparjour.com/fr/recettes/assiette-de-tomates-concombre-feta-ecrase-de-framboises/, image%2080.png",Bowl,Soup & Salad Sunday,European,,
Burrata with pumpkin and hazelnuts,"https://www.houseandgarden.co.uk/recipe/burrata-with-pumpkin-and-hazelnuts, image%2081.png",Bowl,Soup & Salad Sunday,European,,
Green Goddess Tuna Salad Sandwich,"https://www.bonappetit.com/recipe/green-goddess-tuna-salad-sandwich, image%2082.png",Sandwich,Soup & Salad Sunday,European,,
SALADE DE COUSCOUS ISRAÉLIEN À LA MANGUE,"https://lecoupdegrace.ca/recette/salade-de-couscous-israelien-la-mangue/, image%2083.png",Bowl,Soup & Salad Sunday,Middle-East,,
Summer Gazpacho,"https://www.ricardocuisine.com/recettes/8517-gaspacho-le-meilleur, image%2084.png, image%2085.png, https://www.bonappetit.com/recipe/summer-gazpacho",Bowl,Soup & Salad Sunday,Spanish,,
Radicchio and Citrus Salad with Preserved Lemon,"https://www.epicurious.com/recipes/food/views/radicchio-and-citrus-salad-with-preserved-lemon, image%2086.png, https://www.rachaelraymag.com/recipe/radicchio-citrus-salad",Bowl,Soup & Salad Sunday,European,,
"Grilled Apricots with Burrata, Country Ham and Arugula","https://www.foodandwine.com/recipes/grilled-apricots-burrata-country-ham-and-arugula, image%2087.png, https://www.iga.net/fr/produit//00000_000000000000004218, https://www.iga.net/fr/produit/fromage-burratacanadien/00000_000000006239012013, https://www.iga.net/fr/produit/radicchio/00000_000000000000004738, https://www.iga.net/fr/produit/prosciuttofume-tranche/00000_000000006008505143, https://www.instagram.com/reel/CP5gna0l4Lu/?utm_medium=copy_link",Bowl,Soup & Salad Sunday,European,,
Lobster Bisque,"https://www.delish.com/cooking/recipe-ideas/a24797109/lobster-bisque-recipe/, image%2088.png",Bowl,Fish and Seafood Friday,European,,
Bols « rouleaux de printemps » au poulet,"https://www.makegoodfood.ca/fr/recipe/bols-rouleaux-de-printemps-au-poulet-1, image%2089.png",Bowl,Soup & Salad Sunday,Asian,,
Poulet grillé à la grenade et au sumac,"https://www.makegoodfood.ca/fr/recipe/poulet-grille-a-la-grenadeet-au-sumac, image%2090.png",Bowl,Soup & Salad Sunday,European,,
Côtelettes de porc aux épices,"https://www.makegoodfood.ca/fr/recipe/cotelettes-de-porc-aux-epices-10, image%2091.png",Bowl,Soup & Salad Sunday,European,,
Soupe à l’orge et aux légumineuses,"https://www.ricardocuisine.com/recettes/7177-soupe-a-l-orge-et-aux-legumineuses, image%2092.png",Bowl,Soup & Salad Sunday,European,,
Super noodle ramen with kale & barbecue mushrooms,"https://www.jamieoliver.com/recipes/vegetable-recipes/super-noodle-ramen-with-kale-barbecue-mushrooms/, image%2093.png",Bowl,Stir fry & ramen Saturday,Japanese,,
Steaming ramen,"https://www.jamieoliver.com/recipes/pork-recipes/steaming-ramen/, image%2094.png, image%204.jpeg",Bowl,Stir fry & ramen Saturday,Japanese,,
THAI RED CURRY NOODLE SOUP,"https://damndelicious.net/2018/04/18/thai-red-curry-noodle-soup/, image%2095.png",Bowl,Stir fry & ramen Saturday,European,,
Oeufs bénédictine (les meilleurs),"https://www.ricardocuisine.com/recettes/6163-oeufs-benedictine-les-meilleurs, image%2096.png",,Breakfast Everyday,,,
Salade de patates,https://vm.tiktok.com/ZML3RETjB/?k=1,Bowl,Soup & Salad Sunday,,,
SOUPE TONKINOISE AU BŒUF,"https://www.troisfoisparjour.com/fr/recettes/entrees/soupes/soupe-tonkinoise-au-boeuf/, image%2097.png",Bowl,Stir fry & ramen Saturday,,,
Egg salad ,https://vm.tiktok.com/ZMLg16TfU/,Bowl,Soup & Salad Sunday,,,
Chipotle Ramen,"https://www.instagram.com/reel/CQOJwABlqX5/?utm_medium=copy_link, image%205.jpeg",Bowl,Stir fry & ramen Saturday,Japanese,,
Matcha latte chia pudding,"https://choosingchia.com/matcha-latte-chia-pudding/, image%2098.png",,Breakfast Everyday,,,
VERRINES DE QUINOA CRÉMEUX À L’ORANGE & SALADE DE MELON D’EAU,"https://www.troisfoisparjour.com/fr/recettes/desserts/fruits/verrines-de-quinoa-cremeux-a-lorange-salade-de-melon-deau/, image%2099.png",,Breakfast Everyday,,,
Tempête tropicale,"https://www.makegoodfood.ca/fr/recipe/tempete-tropicale-43, image%20100.png",,Breakfast Everyday,,,
Little eggy breakfast ,"IMG_3625.png, https://www.instagram.com/reel/CQn_fstF2E4/?utm_medium=copy_link, image%206.jpeg, image%20101.png, https://www.myrecipes.com/recipe/fried-egg-avocado-toasts",,Breakfast Everyday,,,
EASY OVERNIGHT OATS,"https://damndelicious.net/2017/01/26/easy-overnight-oats/, image%20102.png",,Breakfast Everyday,,,
"Smoked Salmon, Cream Cheese, and Capers Bagel",image%20103.png,,Breakfast Everyday,North American,Salmon,
Smoked salmon latkes with Scandinavian horseradish cream,"image%20104.png, https://www.deliciousmagazine.co.uk/recipes/smoked-salmon-latkes-with-scandinavian-horseradish-cream/",,Breakfast Everyday,,,
Fetzer Valley Oaks Fumé Blanc,"https://www.saq.com/fr/255448, image%20105.png",,Carte des vins,,,
Château Melin Cadillac Côtes de Bordeaux 2010,"https://www.saq.com/fr/13989161, image%20106.png",,Carte des vins,,,
Jacob's Creek Moscato,"https://www.saq.com/fr/12206891, image%20107.png",,Carte des vins,,,
Muscat Sec 2018,"http://famillemigneron.com/produit/muscat-sec-2018/, image%20108.png",,Carte des vins,,,
Firriato Nari Sicilia,"https://www.saq.com/fr/11905809, image%20109.png",,Carte des vins,,,
Botella Oscura,"https://www.iga.net/fr/produit/vinsauvignon-espagnol-blanc/00000_000000082424300211, image%20110.png",,Carte des vins,,,
